Fullpath,Target Int,Target Str
C:\Users\lando\Documents\audioWav1\Marimba.cord.G4.R.wav,20,MARIMBA
C:\Users\lando\Documents\audioWav1\Vibraphone.sustain.Db4.L.wav,32,VIBRAPHONE
C:\Users\lando\Documents\audioWav1\Bass.arco.sulD.G3.L.wav,3,BASS
C:\Users\lando\Documents\audioWav1\Viola.arco.sulD.Gb5.R.wav,33,VIOLA
C:\Users\lando\Documents\audioWav1\Horn.Ab4.R.wav,18,HORN
C:\Users\lando\Documents\audioWav1\Bass.arco.sulG.B2.R.wav,3,BASS
C:\Users\lando\Documents\audioWav1\Trumpet.vib.D4.R.wav,30,TRUMPET
C:\Users\lando\Documents\audioWav1\Cello.arco.sulD.B3.L.wav,10,CELLO
C:\Users\lando\Documents\audioWav1\BassClarinet.Gb3.R.wav,4,BASSCLARINET
C:\Users\lando\Documents\audioWav1\Horn.Db5.R.wav,18,HORN
C:\Users\lando\Documents\audioWav1\Xylophone.hardrubber.Ab6.R.wav,36,XYLOPHONE
C:\Users\lando\Documents\audioWav1\Trumpet.vib.C4.R.wav,30,TRUMPET
C:\Users\lando\Documents\audioWav1\Viola.arco.sulC.Gb4.R.wav,33,VIOLA
C:\Users\lando\Documents\audioWav1\Marimba.rubber.E5.L.wav,20,MARIMBA
C:\Users\lando\Documents\audioWav1\bells.plastic.Gb5.L.wav,9,BELLS
C:\Users\lando\Documents\audioWav1\Tuba.E2.R.wav,31,TUBA
C:\Users\lando\Documents\audioWav1\Horn.D3.R.wav,18,HORN
C:\Users\lando\Documents\audioWav1\Viola.arco.sulC.C4.R.wav,33,VIOLA
C:\Users\lando\Documents\audioWav1\BassTrombone.Db3.L.wav,7,BASSTROMBONE
C:\Users\lando\Documents\audioWav1\Bass.arco.sulA.G2.R.wav,3,BASS
C:\Users\lando\Documents\audioWav1\Viola.arco.sulD.D4.L.wav,33,VIOLA
C:\Users\lando\Documents\audioWav1\Vibraphone.bow.Gb5.R.wav,32,VIBRAPHONE
C:\Users\lando\Documents\audioWav1\Bassoon.Db5.R.wav,6,BASSOON
C:\Users\lando\Documents\audioWav1\Marimba.yarn.A6.R.wav,20,MARIMBA
C:\Users\lando\Documents\audioWav1\Violin.arco.sulG.F4.L.wav,34,VIOLIN
C:\Users\lando\Documents\audioWav1\BassFlute.D5.R.wav,5,BASSFLUTE
C:\Users\lando\Documents\audioWav1\Cello.arco.sulA.Db4.R.wav,10,CELLO
C:\Users\lando\Documents\audioWav1\Vibraphone.dampen.Eb4.L.wav,32,VIBRAPHONE
C:\Users\lando\Documents\audioWav1\Cello.arco.sulD.C5.R.wav,10,CELLO
C:\Users\lando\Documents\audioWav1\EbClarinet.G6.L.wav,13,EBCLARINET
C:\Users\lando\Documents\audioWav1\BassTrombone.Eb1.L.wav,7,BASSTROMBONE
C:\Users\lando\Documents\audioWav1\Vibraphone.dampen.E4.L.wav,32,VIBRAPHONE
C:\Users\lando\Documents\audioWav1\Viola.arco.sulA.Eb5.R.wav,33,VIOLA
C:\Users\lando\Documents\audioWav1\Viola.arco.sulD.C6.R.wav,33,VIOLA
C:\Users\lando\Documents\audioWav1\BassFlute.E4.R.wav,5,BASSFLUTE
C:\Users\lando\Documents\audioWav1\Bassoon.Gb2.R.wav,6,BASSOON
C:\Users\lando\Documents\audioWav1\AltoSax.vib.F3.L.wav,1,ALTOSAX
C:\Users\lando\Documents\audioWav1\Oboe.Gb4.L.wav,21,OBOE
C:\Users\lando\Documents\audioWav1\BassClarinet.F4.R.wav,4,BASSCLARINET
C:\Users\lando\Documents\audioWav1\Violin.arco.sulE.B6.L.wav,34,VIOLIN
C:\Users\lando\Documents\audioWav1\TenorTrombone.Bb3.R.wav,27,TENORTROMBONE
C:\Users\lando\Documents\audioWav1\Vibraphone.bow.Db5.L.wav,32,VIBRAPHONE
C:\Users\lando\Documents\audioWav1\Horn.Gb3.L.wav,18,HORN
C:\Users\lando\Documents\audioWav1\bells.brass.B6.R.wav,9,BELLS
C:\Users\lando\Documents\audioWav1\TenorTrombone.G2.R.wav,27,TENORTROMBONE
C:\Users\lando\Documents\audioWav1\Xylophone.rosewood.Ab6.R.wav,36,XYLOPHONE
C:\Users\lando\Documents\audioWav1\Cello.arco.sulC.Ab2.L.wav,10,CELLO
C:\Users\lando\Documents\audioWav1\Viola.arco.sulG.C4.L.wav,33,VIOLA
C:\Users\lando\Documents\audioWav1\Bass.arco.sulG.Ab2.R.wav,3,BASS
C:\Users\lando\Documents\audioWav1\Vibraphone.shortsustain.Ab3.L.wav,32,VIBRAPHONE
C:\Users\lando\Documents\audioWav1\Flute.nonvib.A4.L.wav,15,FLUTE
C:\Users\lando\Documents\audioWav1\SopSax.vib.A3.L.wav,25,SOPSAX
C:\Users\lando\Documents\audioWav1\Trumpet.novib.Eb6.R.wav,30,TRUMPET
C:\Users\lando\Documents\audioWav1\Tuba.E3.R.wav,31,TUBA
C:\Users\lando\Documents\audioWav1\Marimba.cord.E3.R.wav,20,MARIMBA
C:\Users\lando\Documents\audioWav1\Viola.arco.sulC.F3.R.wav,33,VIOLA
C:\Users\lando\Documents\audioWav1\Marimba.cord.Ab4.R.wav,20,MARIMBA
C:\Users\lando\Documents\audioWav1\Bass.arco.sulD.Eb2.R.wav,3,BASS
C:\Users\lando\Documents\audioWav1\Xylophone.rosewood.Bb7.R.wav,36,XYLOPHONE
C:\Users\lando\Documents\audioWav1\SopSax.vib.Ab3.R.wav,25,SOPSAX
C:\Users\lando\Documents\audioWav1\BassClarinet.D5.R.wav,4,BASSCLARINET
C:\Users\lando\Documents\audioWav1\Cello.arco.sulC.G2.L.wav,10,CELLO
C:\Users\lando\Documents\audioWav1\Bassoon.C3.R.wav,6,BASSOON
C:\Users\lando\Documents\audioWav1\Violin.arco.sulD.C5.L.wav,34,VIOLIN
C:\Users\lando\Documents\audioWav1\AltoSax.vib.Ab5.L.wav,1,ALTOSAX
C:\Users\lando\Documents\audioWav1\EbClarinet.Ab3.L.wav,13,EBCLARINET
C:\Users\lando\Documents\audioWav1\AltoFlute.vib.Ab5.L.wav,0,ALTOFLUTE
C:\Users\lando\Documents\audioWav1\SopSax.nonvib.D6.R.wav,25,SOPSAX
C:\Users\lando\Documents\audioWav1\Bassoon.Eb4.L.wav,6,BASSOON
C:\Users\lando\Documents\audioWav1\bells.brass.Bb6.L.wav,9,BELLS
C:\Users\lando\Documents\audioWav1\Viola.arco.sulD.Bb4.R.wav,33,VIOLA
C:\Users\lando\Documents\audioWav1\Trumpet.vib.G4.R.wav,30,TRUMPET
C:\Users\lando\Documents\audioWav1\Flute.nonvib.E5.L.wav,15,FLUTE
C:\Users\lando\Documents\audioWav1\BassFlute.E3.L.wav,5,BASSFLUTE
C:\Users\lando\Documents\audioWav1\Trumpet.vib.G3.L.wav,30,TRUMPET
C:\Users\lando\Documents\audioWav1\Vibraphone.sustain.Gb5.L.wav,32,VIBRAPHONE
C:\Users\lando\Documents\audioWav1\AltoFlute.vib.B5.R.wav,0,ALTOFLUTE
C:\Users\lando\Documents\audioWav1\Vibraphone.dampen.F3.L.wav,32,VIBRAPHONE
C:\Users\lando\Documents\audioWav1\Violin.arco.sulD.Bb4.R.wav,34,VIOLIN
C:\Users\lando\Documents\audioWav1\SopSax.nonvib.Bb4.L.wav,25,SOPSAX
C:\Users\lando\Documents\audioWav1\Xylophone.hardrubber.Gb5.R.wav,36,XYLOPHONE
C:\Users\lando\Documents\audioWav1\Xylophone.hardrubber.Bb7.L.wav,36,XYLOPHONE
C:\Users\lando\Documents\audioWav1\Viola.arco.sulD.C5.L.wav,33,VIOLA
C:\Users\lando\Documents\audioWav1\bells.plastic.Db7.R.wav,9,BELLS
C:\Users\lando\Documents\audioWav1\Marimba.yarn.Ab5.R.wav,20,MARIMBA
C:\Users\lando\Documents\audioWav1\Violin.arco.sulG.Ab3.R.wav,34,VIOLIN
C:\Users\lando\Documents\audioWav1\bells.plastic.Bb5.L.wav,9,BELLS
C:\Users\lando\Documents\audioWav1\Marimba.yarn.Db4.L.wav,20,MARIMBA
C:\Users\lando\Documents\audioWav1\Vibraphone.dampen.A4.L.wav,32,VIBRAPHONE
C:\Users\lando\Documents\audioWav1\AltoSax.vib.Ab3.R.wav,1,ALTOSAX
C:\Users\lando\Documents\audioWav1\Marimba.rubber.Eb6.R.wav,20,MARIMBA
C:\Users\lando\Documents\audioWav1\EbClarinet.Ab6.R.wav,13,EBCLARINET
C:\Users\lando\Documents\audioWav1\SopSax.nonvib.Ab5.R.wav,25,SOPSAX
C:\Users\lando\Documents\audioWav1\Flute.vib.Db6.L.wav,15,FLUTE
C:\Users\lando\Documents\audioWav1\Vibraphone.bow.Ab4.L.wav,32,VIBRAPHONE
C:\Users\lando\Documents\audioWav1\SopSax.vib.D6.L.wav,25,SOPSAX
C:\Users\lando\Documents\audioWav1\BbClarinet.Ab4.R.wav,8,BBCLARINET
C:\Users\lando\Documents\audioWav1\Bassoon.D2.L.wav,6,BASSOON
C:\Users\lando\Documents\audioWav1\Trumpet.vib.Eb5.L.wav,30,TRUMPET
C:\Users\lando\Documents\audioWav1\Marimba.cord.Eb6.L.wav,20,MARIMBA
C:\Users\lando\Documents\audioWav1\bells.brass.C6.L.wav,9,BELLS
C:\Users\lando\Documents\audioWav1\AltoFlute.vib.A3.R.wav,0,ALTOFLUTE
C:\Users\lando\Documents\audioWav1\AltoFlute.vib.Eb4.L.wav,0,ALTOFLUTE
C:\Users\lando\Documents\audioWav1\Cello.arco.sulC.Ab2.R.wav,10,CELLO
C:\Users\lando\Documents\audioWav1\BassClarinet.Eb4.L.wav,4,BASSCLARINET
C:\Users\lando\Documents\audioWav1\Oboe.G5.L.wav,21,OBOE
C:\Users\lando\Documents\audioWav1\AltoSax.NoVib.B4.R.wav,1,ALTOSAX
C:\Users\lando\Documents\audioWav1\TenorTrombone.F2.R.wav,27,TENORTROMBONE
C:\Users\lando\Documents\audioWav1\BassClarinet.F3.R.wav,4,BASSCLARINET
C:\Users\lando\Documents\audioWav1\SopSax.nonvib.C6.L.wav,25,SOPSAX
C:\Users\lando\Documents\audioWav1\Bassoon.Ab2.R.wav,6,BASSOON
C:\Users\lando\Documents\audioWav1\Bass.arco.sulD.G3.R.wav,3,BASS
C:\Users\lando\Documents\audioWav1\Flute.nonvib.Eb5.L.wav,15,FLUTE
C:\Users\lando\Documents\audioWav1\AltoSax.vib.Gb5.R.wav,1,ALTOSAX
C:\Users\lando\Documents\audioWav1\bells.brass.Eb8.L.wav,9,BELLS
C:\Users\lando\Documents\audioWav1\Flute.vib.B4.R.wav,15,FLUTE
C:\Users\lando\Documents\audioWav1\Horn.Gb4.R.wav,18,HORN
C:\Users\lando\Documents\audioWav1\SopSax.vib.C6.R.wav,25,SOPSAX
C:\Users\lando\Documents\audioWav1\Xylophone.hardrubber.G6.L.wav,36,XYLOPHONE
C:\Users\lando\Documents\audioWav1\Marimba.cord.F4.L.wav,20,MARIMBA
C:\Users\lando\Documents\audioWav1\Violin.arco.sulD.D4.R.wav,34,VIOLIN
C:\Users\lando\Documents\audioWav1\AltoSax.NoVib.Db3.R.wav,1,ALTOSAX
C:\Users\lando\Documents\audioWav1\Vibraphone.shortsustain.Eb3.L.wav,32,VIBRAPHONE
C:\Users\lando\Documents\audioWav1\Horn.Eb3.L.wav,18,HORN
C:\Users\lando\Documents\audioWav1\Flute.vib.C6.R.wav,15,FLUTE
C:\Users\lando\Documents\audioWav1\BassFlute.F3.R.wav,5,BASSFLUTE
C:\Users\lando\Documents\audioWav1\Vibraphone.bow.Ab3.L.wav,32,VIBRAPHONE
C:\Users\lando\Documents\audioWav1\AltoSax.vib.A4.L.wav,1,ALTOSAX
